match_no;group;round;date;time;home;away
1;Група A;1;11 червня;22:00;Мексика;ПАР
2;Група A;1;12 червня;05:00;Південна Корея;Чехія
3;Група A;2;18 червня;19:00;Чехія;ПАР
4;Група A;2;19 червня;04:00;Мексика;Південна Корея
5;Група A;3;25 червня;04:00;Чехія;Мексика
6;Група A;3;25 червня;04:00;ПАР;Південна Корея
7;Група B;1;12 червня;22:00;Канада;Боснія і Герцеговина
8;Група B;1;13 червня;22:00;Катар;Швейцарія
9;Група B;2;18 червня;22:00;Швейцарія;Боснія і Герцеговина
10;Група B;2;19 червня;01:00;Канада;Катар
11;Група B;3;24 червня;22:00;Швейцарія;Канада
12;Група B;3;24 червня;22:00;Боснія і Герцеговина;Катар
13;Група C;1;14 червня;01:00;Бразилія;Марокко
14;Група C;1;14 червня;04:00;Гаїті;Шотландія
15;Група C;2;20 червня;01:00;Шотландія;Марокко
16;Група C;2;20 червня;03:30;Бразилія;Гаїті
17;Група C;3;25 червня;01:00;Шотландія;Бразилія
18;Група C;3;25 червня;01:00;Марокко;Гаїті
19;Група D;1;13 червня;04:00;США;Парагвай
20;Група D;1;14 червня;07:00;Австралія;Туреччина
21;Група D;2;19 червня;22:00;США;Австралія
22;Група D;2;20 червня;06:00;Туреччина;Парагвай
23;Група D;3;26 червня;05:00;Туреччина;США
24;Група D;3;26 червня;05:00;Парагвай;Австралія
25;Група E;1;14 червня;20:00;Німеччина;Кюрасао
26;Група E;1;15 червня;02:00;Кот-д’Івуар;Еквадор
27;Група E;2;20 червня;23:00;Німеччина;Кот-д’Івуар
28;Група E;2;21 червня;06:00;Еквадор;Кюрасао
29;Група E;3;25 червня;23:00;Еквадор;Німеччина
30;Група E;3;25 червня;23:00;Кюрасао;Кот-д’Івуар
31;Група F;1;14 червня;23:00;Нідерланди;Японія
32;Група F;1;15 червня;05:00;Швеція;Туніс
33;Група F;2;20 червня;20:00;Нідерланди;Швеція
34;Група F;2;21 червня;07:00;Туніс;Японія
35;Група F;3;26 червня;02:00;Японія;Швеція
36;Група F;3;26 червня;02:00;Туніс;Нідерланди
37;Група G;1;15 червня;22:00;Бельгія;Єгипет
38;Група G;1;16 червня;04:00;Іран;Нова Зеландія
39;Група G;2;21 червня;22:00;Бельгія;Іран
40;Група G;2;22 червня;04:00;Нова Зеландія;Єгипет
41;Група G;3;27 червня;06:00;Єгипет;Іран
42;Група G;3;27 червня;06:00;Нова Зеландія;Бельгія
43;Група H;1;15 червня;19:00;Іспанія;Кабо-Верде
44;Група H;1;16 червня;01:00;Саудівська Аравія;Уругвай
45;Група H;2;21 червня;19:00;Іспанія;Саудівська Аравія
46;Група H;2;22 червня;01:00;Уругвай;Кабо-Верде
47;Група H;3;27 червня;03:00;Кабо-Верде;Саудівська Аравія
48;Група H;3;27 червня;03:00;Уругвай;Іспанія
49;Група I;1;16 червня;22:00;Франція;Сенегал
50;Група I;1;17 червня;01:00;Ірак;Норвегія
51;Група I;2;23 червня;00:00;Франція;Ірак
52;Група I;2;23 червня;03:00;Норвегія;Сенегал
53;Група I;3;26 червня;22:00;Норвегія;Франція
54;Група I;3;26 червня;22:00;Сенегал;Ірак
55;Група J;1;17 червня;04:00;Аргентина;Алжир
56;Група J;1;17 червня;07:00;Австрія;Йорданія
57;Група J;2;22 червня;20:00;Аргентина;Австрія
58;Група J;2;23 червня;06:00;Йорданія;Алжир
59;Група J;3;28 червня;05:00;Алжир;Австрія
60;Група J;3;28 червня;05:00;Йорданія;Аргентина
61;Група K;1;17 червня;20:00;Португалія;ДР Конго
62;Група K;1;18 червня;05:00;Узбекистан;Колумбія
63;Група K;2;23 червня;20:00;Португалія;Узбекистан
64;Група K;2;24 червня;05:00;Колумбія;ДР Конго
65;Група K;3;28 червня;02:30;Колумбія;Португалія
66;Група K;3;28 червня;02:30;ДР Конго;Узбекистан
67;Група L;1;17 червня;23:00;Англія;Хорватія
68;Група L;1;18 червня;02:00;Гана;Панама
69;Група L;2;23 червня;23:00;Англія;Гана
70;Група L;2;24 червня;02:00;Панама;Хорватія
71;Група L;3;28 червня;00:00;Панама;Англія
72;Група L;3;28 червня;00:00;Хорватія;Гана
